trial_id,case_index,condition,signal,interval,changed_fields,decision,receiver_answer,released_answer,published_target,received_answer_wrong,released_answer_wrong,answer_only_equal,expectation_met
a4c609e65a0f9bd5d1e9395e,0,control,NO_OBSERVED_CHANGE,,[],ACCEPT,D,D,D,False,False,True,True
d9396d1d0f8c0e5349730e14,1,control,NO_OBSERVED_CHANGE,,[],ACCEPT,B,B,B,False,False,True,True
6c6fa92079672e82acdc6b29,2,control,NO_OBSERVED_CHANGE,,[],ACCEPT,A,A,A,False,False,True,True
06e5e4eea38c9ad9509c3ab1,3,control,NO_OBSERVED_CHANGE,,[],ACCEPT,A,A,A,False,False,True,True
9c8ca4a649cfd571ac7c55e7,4,control,NO_OBSERVED_CHANGE,,[],ACCEPT,F,F,F,False,False,True,True
7f689e74ce03c7307be9d919,5,control,NO_OBSERVED_CHANGE,,[],ACCEPT,B,B,B,False,False,True,True
f5f2e0cb975058935c107881,6,control,NO_OBSERVED_CHANGE,,[],ACCEPT,E,E,E,False,False,True,True
ff1478bbf32084d902d25126,7,control,NO_OBSERVED_CHANGE,,[],ACCEPT,B,B,B,False,False,True,True
8df3cae322c8fc621b19efd7,8,control,NO_OBSERVED_CHANGE,,[],ACCEPT,C,C,C,False,False,True,True
7b1fbd12776aca8b14dbf41c,9,control,NO_OBSERVED_CHANGE,,[],ACCEPT,B,B,B,False,False,True,True
3c79875b339a96ddfd42ab2b,10,control,NO_OBSERVED_CHANGE,,[],ACCEPT,G,G,G,False,False,True,True
b14489af2175faa679c6d655,11,control,NO_OBSERVED_CHANGE,,[],ACCEPT,C,C,C,False,False,True,True
f0d9ce4afee641b865e540de,12,control,NO_OBSERVED_CHANGE,,[],ACCEPT,D,D,D,False,False,True,True
d165bd2ade83d7a7cda443d0,13,control,NO_OBSERVED_CHANGE,,[],ACCEPT,F,F,F,False,False,True,True
b17401eec1d48f0db8b027a2,14,control,NO_OBSERVED_CHANGE,,[],ACCEPT,A,A,A,False,False,True,True
9ef5674b3e795aabde4b9e5c,15,control,NO_OBSERVED_CHANGE,,[],ACCEPT,E,E,E,False,False,True,True
e99f0af07d7f753da938eced,16,control,NO_OBSERVED_CHANGE,,[],ACCEPT,B,B,B,False,False,True,True
3e1d38745713f38fd9d33518,17,control,NO_OBSERVED_CHANGE,,[],ACCEPT,E,E,E,False,False,True,True
56c59f944d20fbf7de90b886,18,control,NO_OBSERVED_CHANGE,,[],ACCEPT,G,G,G,False,False,True,True
2585d714df1e2d789e8f9fcd,19,control,NO_OBSERVED_CHANGE,,[],ACCEPT,A,A,A,False,False,True,True
68d90be3eca37249dd32d739,20,control,NO_OBSERVED_CHANGE,,[],ACCEPT,D,D,D,False,False,True,True
65ff2fd8ee2a1f92f008774e,21,control,NO_OBSERVED_CHANGE,,[],ACCEPT,C,C,C,False,False,True,True
db699cd79b64dfe897149cd0,22,control,NO_OBSERVED_CHANGE,,[],ACCEPT,A,A,A,False,False,True,True
c32390617f6808f494e75031,23,control,NO_OBSERVED_CHANGE,,[],ACCEPT,E,E,E,False,False,True,True
4ba89dab390421b0b33ffb44,24,control,NO_OBSERVED_CHANGE,,[],ACCEPT,D,D,D,False,False,True,True
d94beb6b13dc9e1725096a7c,25,control,NO_OBSERVED_CHANGE,,[],ACCEPT,A,A,A,False,False,True,True
6f15dcab9e9cdd94a83ec74b,26,control,NO_OBSERVED_CHANGE,,[],ACCEPT,F,F,F,False,False,True,True
721324adf308ea605f4e1c38,27,control,NO_OBSERVED_CHANGE,,[],ACCEPT,C,C,C,False,False,True,True
b1bf1babd9a78f5136bfeaab,28,control,NO_OBSERVED_CHANGE,,[],ACCEPT,B,B,B,False,False,True,True
d9e15f4296aad210863eec56,29,control,NO_OBSERVED_CHANGE,,[],ACCEPT,E,E,E,False,False,True,True
ea9ac87a57808ee00bccdd49,30,control,NO_OBSERVED_CHANGE,,[],ACCEPT,C,C,C,False,False,True,True
c7a97ab86cb9130808378fb0,31,control,NO_OBSERVED_CHANGE,,[],ACCEPT,D,D,D,False,False,True,True
7e87891b4b9e6598c8c62f84,32,control,NO_OBSERVED_CHANGE,,[],ACCEPT,C,C,C,False,False,True,True
1eab12057331a59a44e3d2ec,33,control,NO_OBSERVED_CHANGE,,[],ACCEPT,A,A,A,False,False,True,True
d61667d02eb46462a8b8c8d1,34,control,NO_OBSERVED_CHANGE,,[],ACCEPT,G,G,G,False,False,True,True
8787136304c17151a5fd8fba,35,control,NO_OBSERVED_CHANGE,,[],ACCEPT,A,A,A,False,False,True,True
cddb7a98d74f6a34ce3936ba,36,control,NO_OBSERVED_CHANGE,,[],ACCEPT,F,F,F,False,False,True,True
bd28d3879b099d3ac7137afd,37,control,NO_OBSERVED_CHANGE,,[],ACCEPT,C,C,C,False,False,True,True
721248f98c79864dd8228c0a,38,control,NO_OBSERVED_CHANGE,,[],ACCEPT,A,A,A,False,False,True,True
6c9c1f9d171b62a72fe9fba0,39,control,NO_OBSERVED_CHANGE,,[],ACCEPT,G,G,G,False,False,True,True
cb4472fb1aea9eb147e92590,40,control,NO_OBSERVED_CHANGE,,[],ACCEPT,C,C,C,False,False,True,True
ede89e042c46d7c46e913b50,41,control,NO_OBSERVED_CHANGE,,[],ACCEPT,D,D,D,False,False,True,True
bda3e5df2b178e20c4590a2c,42,control,NO_OBSERVED_CHANGE,,[],ACCEPT,E,E,E,False,False,True,True
227fb7b6966685a6e8e01e03,43,control,NO_OBSERVED_CHANGE,,[],ACCEPT,D,D,D,False,False,True,True
82e21edb0de6120a6ae0c233,44,control,NO_OBSERVED_CHANGE,,[],ACCEPT,A,A,A,False,False,True,True
83c3e96c8bf2682ec71d82b5,45,control,NO_OBSERVED_CHANGE,,[],ACCEPT,B,B,B,False,False,True,True
ccecbce50a56740a77fb100e,46,control,NO_OBSERVED_CHANGE,,[],ACCEPT,D,D,D,False,False,True,True
26f10af4fc3dacc69645899f,47,control,NO_OBSERVED_CHANGE,,[],ACCEPT,B,B,B,False,False,True,True
2c3a52527b82a56e5e6e9337,48,control,NO_OBSERVED_CHANGE,,[],ACCEPT,F,F,F,False,False,True,True
2b73d6bbf300e8f83f633c76,49,control,NO_OBSERVED_CHANGE,,[],ACCEPT,F,F,F,False,False,True,True
